label,text,rewritten,style
1,"""Crappy cakes. Shortening-based ""buttercream"" instead of the real deal. Chocolate cake tastes off, like fake rum. People buy 'em 'cause they don't know better. Carl's stuck in his ways, does the same old designs from the 80s. No fancy fondant or sugar work. Simple cakes for simple minds. Deb R. from Carl's Cakes commented, thanks for the pics. Can tell which ones Carl did, they're basic. Other decorators there do more creative work.""",True,Hemingway
1,"
""Terrible experience. $70 per head for dinner, soda extra, two bucks a pop, no free refills. Bathrooms busted, had to switch boats, no comp for the trouble. Sat two hours at port for a crappy buffet - red potatoes, pork, soggy salad, mediocre prime rib. Waited thirty minutes for a server who didn't even know he had our table. Once he showed up, he didn't do much serving. In fact, we never saw him again. Unforgettable, but not in a good way.""",True,Hemingway
1,"
""I ventured forth alone on seafood night,
And found that M and Studio B had changed their plight.
Fewer tables now, and those that sat, did so with nary a care,
For long periods of time, they gathered dust and hair.
The line, oh how it stretched and twisted,
A serpentine queue, that ne'er seemed to cease.
Three items only, did they add to the fare,
Oysters, crab legs, and shrimp, but not the king's share.
All else, their regular buffet, did remain,
But for these few, the price did rise again.
My kin refused to wait, and thus didst I,
For over an hour, didst I stand, ere a table didst come nigh.
I fear, I shall not return, till changes do occur.""",True,Shakespeare
1,"
""Been gettin' our lunch from Vons deli three days a week for near seven months now. One employee, always in a foul mood, rude as can be. Called the assistant manager, but that didn't change a thing. Yesterday, my associate goes to pick up our lunch and the manager's there. Tells him about our poor service and 'titude. Gets a bunch of excuses. Today, they tell us we gotta pay for the bacon now. Seven months, no one's charged us for bacon. Now we speak up, suddenly we're bein' punished. As a manager myself in customer service, this is a damn disgrace.""",True,Hemingway
1,"
""Caesar's Palace buffet? More like a sad joke. Empty tables, mediocre grub. Twenty-five bucks? No way. Snow crab legs saved the day, but still, avoid it like the plague.""",True,Hemingway
1,"
""This joint's a dump. Food's mediocre, overpriced, and the service is a joke. Don't bother comin' here if you've got places to be, 'cause you'll prob'ly still be waitin' for your check. And forget about gettin' change, they don't do that here. Cash only, my friend. This place is a typical Charlotte spot, built for them braindead yuppies takin' over the city. Steer clear, pal.""",True,Hemingway
1,"
""New ownership, poor service.  Three times, lunch denied.  Cash only, broken credit card machine.  Bullshit.  Today, same story.  Manager asks, ""You don't have seven bucks?""  None of their business.  I use credit for everything, bonuses and tracking.  Idiots.  Avoid, disappointment guaranteed.""",True,Hemingway
1,"
""O, wouldst thou learn the name of this club be changed?
'Tis DXS, forsooth, a place of much douchery.
Alack, a club most lacking in originality,
Wherein the sole delight was yonder pool,
Unused by any, save those who didst dare
To venture forth and risk the wrath of staff.
The music, middling, didst not stir the soul,
Nor didst the line, which stretched and wound about,
Awaiting entry, for an hour or more.
The staff, with rudeness didst they greet,
And prices, high, didst make the purse feel light.
Alas, the club, o'erfilled with people, was it not,
A place of wonder, nay, a den of woe.""",True,Shakespeare
1,"
""Thus far, methinks, this place doth leave much to be desired. Four persons have I spoken to, and all, save one, didst display a manner most brusque and uncivil. Alas, not a single soul couldst assist me in my quest to become a new patient. Methinks they do not require my custom! Verily, 'tis vexing that my queries, via phone, didst remain unanswered. Fie upon this wretched day!""",True,Shakespeare
1,"
""Birthday signup, gift card in hand, we ventured out mid-week. Favorite spot, but service was lacking. New guy, trying his best, but two and a half hours? Manager didn't seem to care, even after I mentioned it. Fried rice issues too. Cook, new like the server, made too little, gave it to the wrong person, then took it back and gave it to the girl next to us. My girlfriend got burnt rice. Upgrade not worth the few bucks.""",True,Hemingway
1,"
""Cravin' meat jun, I drove to the address listed. Guy who answered, no sympathy. Paid fourteen bucks for a thin slice of kalbi, practically see-through, a piece of BBQ chicken, and a slice of meat jun. Could've gotten it cheaper in Hawaii. Asked for Koch-jun sauce, didn't get it. No chopsticks either. Place deserves a negative one-star review. Total waste of time, gas, and money.""",True,Hemingway
1,"
""Unorg'nized mess. Expired products, wilted veggies. Avoid this joint. Head to Rajbhog instead. Worth the extra distance.""",True,Hemingway
1,"""One star's too generous for this joint. Blonde manager's got some 'tude, real unprofessional. Believe she's the head honcho, ain't no excuse for that kinda behavior. Never comin' back here, no sir. She was about as helpful as a wet noodle and had the nerve to chew out an employee in front of God and everybody. Just plain wrong. Only bright spot was Nadia, the Clinique rep. She was a peach.""",True,Hemingway
1,"
""Been coming here for two years. Started allergy shots last April. Doctors are decent, not great, but good enough. Staff, though - terrible. Cancel appointments, lose paperwork, demand payment, and deny treatment over billing issues. \n\nExample: wanted to start allergy shots in April. Supposed to start right away, but didn't get around to it until I followed up in May. Ordered my serum in May, waited a month. Called in late June, they said they had no record of it. Confirmed my appointment, then lost it. Three times now, they've changed the 'open hours' for shots without notice. \n\nFinish my shots, I'm outta here.""",True,Hemingway
1,"
""Breakfast at a joint claimin' to be gluten-free. But, hell, their smoothies were the worst I've ever had. All full of vanilla and stevia, like someone poured a damn health supplement in there. And don't even get me started on the eggs. Rubbery, cold, and not even real. Just some cheap imitation. The bread? Forget about it. Rice with tapioca starch. Tastes like cardboard. If you're lookin' for gluten-free crap, this is your place.""",True,Hemingway
