task,label,text,rationale
beer2,0.6,"from the smell , i 'm not getting a dipa , seems much milder . the taste is pretty pungent , but it seems like much of this is the alcohol . the hops are pretty tasty , but one dimensional ( as described 100 % centennial hops ) . i guess that explains the minimal hops in the nose . interesting technically as the 100-100-100 ... feat .  the best pour of any irish stout i have ever had , comes out of the draught can creamy and immediately begins to cascade down in my pub glass . a thick creamy head blankets the top of my glass and stays throughout the entire beer , even after the beer is gone the head remains in the bottom of the glass . intense lacing sticks to the glass . the color is a rich dark mahogony .  mouthfeel : i only had a couple mouthfuls ( did n't even make it through one bottle ) , but it felt more substantial and less watery than o'douls or warsteiner . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
beer2,0.6,"a hazy light brown with golden highlights when held up to the light . although the flavor was somewhat standard it was delivered rich and creamy and certainly felt in mouth like it was better crafted than the handful of other ales i 've tried recently .  at first pour it did have that great look , not as dark , but the perfect contrast between the creamy head and dark body .  m : was ok , but nothing to write home about . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"very sweek candi-sugar smelling . no hop presence at all . then there 's a nice caramel malt and candi sugar flavor . very nice .  poured into a weizen glass , this brew is a very interesting color and one that i 've never seen before .  it had a light feel on the palate with very high carbonation . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 
beer2,0.6,"a deep ruby blood-red with a milky white head , awesome contrast , one of the coolest looking beers i 've seen . has a well-balanced malt vs. spicy bitter flavor with a hint of butterscotch . kind of chewy but smooth going down , very drinkable . i ca n't believe i had n't had this one before .  bottle poured into a tall tulip glass a : hard pour produces a beautiful deep burnt orange & blood red sunset color , with 3-finger rocky , dirty white head . lots of lacing left behind .  mouthfeel - kind of effervescent . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 
beer2,0.6,"s - malty , sweet , wood t - sweet , smokey , smooth ... mild hoppy bite shows itself as it gets warmer , tasty and not overwhelming as many porters have been to me m - not like some others of this style i have tried , it feels lighter but not watery .  an 8oz draft at the porter during the terrapin takeover on 5/21/11 a - wow , one of the biggest foamy heads i have ever seen .  perfect creaminess with a decent bite . mouthfeel - the only thing left is a slight bitterness on the sides of your tongue , average here . drinkability - above average , creamy and satisfying , could have a few of these without an issue . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 
beer2,0.6,smells metallic and slightly roasted with fig molasses . decent smells .  looks really nice ... .a dark hazy orange/brown with a creamy head .  the mouthfeel is a bit overcarbonated and burns the tongue a bit . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"a fantastic beer from southern tier . ( poured into a brandy snifter . ) the aroma was heavy on chocolate and coffee , with hints of vanilla , caramel and oatmeal . southern tier does a great job with their seasonal bottles and this is one that i think goes above and beyond the expectations . great beer !  12oz bottle to tulip . wow , this is one awesome looking beer . a beautifully dense head capping a brew that is the deepest of amber , with a shine that would make any ruby gemstone jealous . stunning .  light mouth feel . hops win out . ; ) ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"the smell was clean with a hint of sourness . there was a lot of room for the spices in the nose but they did not come through . accented with a sour bite and finishing dry . i wish the spices came out more in the nose instead of leaving a harsh note in my throat . an excellent beer , i wish my scoring in the drinkability category was higher .  pours a deep deep mahogany amber brown . moderate dense head of creamy tan foam .  a big surprise with this one smells great a west coast from the east coast t more big hop flavors but not quite as strong in the mouth but still quite good m a little flat and not as thick as i would like but it leaves some grit on your gums and the flavors hang out for a while d i really liked this beer i nearly took down the jug on my own in no time very unexpected winner with this one , after seeing it 's 7.1 % alc i give it even more props because the whole time i thought i was drinking a low booze ipa . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
beer2,0.6,"wheaty , yeasty , and a hint of flowery sugars . taste- starts out a bit peppery but quickly sweetens up some with hints of spring strawberries and blackberries .  poured from bottle to tulip glass a : brilliantly clear pale yellow color with huge 3+ finger head that fades very slowly n : nose of a light belgian type wit with some light malts , touch of spices , toasted quality , touch of yeast t : starts with more malts and toasted quality , pretty light otherwise , a touch of light fruits and banana , slight earthy marzen quality , no spices m : very light and somewhat watery f : finishes dry and very crisp with a fading earthy marzen taste , would make a good session beer final thoughts : its a very light tasting oktoberfest/marzen .  mouthfeel : a little on the thin side with high carbonation and a slightly dry finish . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
beer2,0.6,"the aroma is nice and clean , but nothing special really .  appearance : a dark , nearly black , reddish brown body with laser-beam red highlights . up top , two fingers of creamy -cream-colored head that endure almost to the end of the glass , leaving excellent sheets of lacing on the way down .  mouthfeel : it seems like a light body beer but the dry pokes and hop prods keep it active until the nearly numbing dry of the aftertaste begs for more . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
