task,label,text,rationale,combine_flag
beer2,0.6,"s- a very beatiful hop aroma it has a good mix of a citrus hop smell and a piney hop smell t- the smell does n't reach the bar that the smell set .  mouthfeel was super dry , yet still drinkable enough . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 ,1
beer2,0.6,"a very nice smell for a dry irish stout .  i never understand why beers like this always come so highly rated here on ba . plenty of caramel taste ( and flavour ) smooth and a little thick.i drank one cold and one warm to compare taste , niether was better than the other , pretty bland really overall . ",0 0 0 0 0 0 0 0 0 00 0 0 1 1 1 1 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,1
beer2,0.6,really great looking beer .  a little too carbonated for my liking . a little smoothness would help . ,0 0 0 0 01 1 1 0 0 0 0 0 1 1 1 0 0 0 ,0
beer2,0.6,"the nose , like i 've found with the other recent nb lof releases ( super cru and le terroir ) , is very clean for something belgian in style- festive almost with a country store kind of vibe with its vibrant aromas of spiced apple jam , bread dough , caramel , raisins , poached pears and chocolate . very lush . the palate is medium-bodied and moderately sweet with a husky maltiness and a serious combo of yeasty flavors and fruity esters that smelt very powerfully to me like juicy fruit gum . there were some very tightly integrated spices , a bit of boozy alcohol and a mildly bitter coating of rich cocoa . nothing incredibly spicy , musky or unbridled .  the first sip reveals and average body with very fine tingly carbonation . the body is a little lighter than i expected and not quite as sticky as hoped . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 ,1
beer2,0.6,starts out with a spectacular pour ; a clear ruby copper with a never-ending ivory pillow floating on top lacing like a boot on the way down .  very dry . a definite sipper . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 ,0
beer2,0.6,a - clear caramel amber color with a foamy off-white head . great retention and lacing covering the entire glass !  could easily pass for an ipa . mf- zesty carbonation livens up the body a bit but the weight is hard to perceive . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"smell was strong and citrusy and full of fruits with extra vitamin c. from oranges to orange peels to tangerines to grapefruit . the smell stuck in your senses for an unusually long time . first thing i noticed about the taste was how clean and refreshing it was . really citrusy that cleans out your nose . orange peels reign supreme with the taste .  cocoa powder taste , not too sweet , has a bite to it . not too bad for an irish stout . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 ,1
beer2,0.6,"22oz bomber pours a dark reddish brown with large dense tan head . long retention and tons of lacing .  m : smooth and creamy , but it does feel watery on the mid-palate , maybe i expected more with the thick motor oil-esque appearance , but i wish this was a little more beefed up . d : aside from the minor mouthfeel problems which really were n't a big deal to me , this is a very good black lager . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"smell : raw cocoa , sawdust , roasted peanuts , malt , ripe plum . bold aroma . this is very nice . mouthfeel : smoothe through the start and ends with a dryness accompanied by some alcohol .  m : a little thin for my taste especially for a winter beer , but other positive aspects more than make up for it . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,1
beer2,0.6,"this has a fantastic nose . cookie dough , bready yeastiness , fermentation esters , pepper , a little lemon and the slightest of nuances of alcohol . the same nice doughiness from the nose translates nicely to the buds . good stuff .  mouthfeel enters well with strong carbonation but it fizzes out as it moves back and is quite bloating after swallow . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,1
beer2,0.6,"a battle with the cork leads to a convincing auburn beauty with two fingers of head .  a mild estery maltiness comes through , very sweet , with minimal hops . the flavor is basically all butterscotch diacetyl . nothing else comes through besides a creamy cloying buttery sugary flavor . pretty terrible . i would have rather had a budweiser . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 1 ,0
