task,label,text,rationale
beer2,0.6,"s- not much to mention-decent t- i thought it was fantastic . started off with a fine malty flavor and ended with some very good hop kick . carbonation was just right d- much better than i expected from an ipa . this is one of the better beers i have had in a while . one of the best tasting beers i have had . it may not be your typical ipa style , but get over it people ! this is a very good beer .  nice looking ruby brew with a long lasting off white head .  very smooth and not overpowering though . i wish this beer was n't so thin . i would 've liked it to have some more body . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 
beer2,0.6,"the aroma is amazing - bourbon and chocolate and roasted coffee bean . burn malt aroma is up front , followed by fudgy chocolate . i was impressed - i 'll be getting this again .  a - clear copper brew with a fair amount of bubbles an enormous head and a thick cascade of lacing all down the sides - truly gorgeous .  if you 're looking to watch those love-handels , like amstel , this may be something to consider . it lacks flavour and proves to be very bland which is emphasised by it 's cardboard-like aftertaste . one positive , is that it 's very easy to drink if you can put the taste ( or lack there of ) aside . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
beer2,0.6,"aroma : this started out with a huge , beautiful hoppy , floral , citrusy nose . flavor : then , i drank some & everything went downhill . it was watery & disappointing .  a mostly clear dark brown with mahogany highlights , this beer is capped with a ridiculously long-lasting beige head with excellent retention . quite the stunner , this , it 's been a while since i 've seen a beer with such good head retention .  m - goes down as easy as any ipa would . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"aroma : mostly muted , with some hints of sweet malts , and a touch of alcohol , but nothing pops out at you .  appearance : great looking beer . nice , topographical head appearance that is dense , uniform , and leaves a good bit of lacing on my clean glass ( hear that ? interesting phenomenon : when i drank about half of the beer a very dense formation of creamy head formed in the center of the beer forming an almost perfect circle .  mouthfeel is very light and highly carbonated . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 
beer2,0.6,"s : thick chocolate aroma , chocolate malt , smooth coffee , heavy cream , vanilla bean , molasses . hints of plums and cherries reveal themselves through the overall bold aroma . t/m : smoky milk chocolate and sweet cream on the initial sip . d : very rich and smooth . a decent dessert beer , pretty average .  this is one impressive looking beer indeed .  mouthfeel seems little light for a big stout the carbonation level does n't help with lightness either . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"very impressive aroma and what i would expect from an imperial pilsner .  a - pours a beautiful 2 finger head , slightly orange foam , with nice lacing , and dissipates slow and sexy . flawless .  m : it was watery with some carbonation . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 
beer2,0.6,s. pleasant but nothing stands out besides some citric and floral hops and a bit of malt .  appearance straight black in color with a dark brown head like the crme you find on top of an espresso shot .  mouthfeel was average but could have used more texture . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"the nose is respectable given the style ( and especially given the brewery ) . it 's fresh and grain-like with almost no musty hoppiness . how can a beer that smells so respectable taste like this . krasniy vostok brews some amazingly bad beer .  it presented itself very dark red , almost chocolate-colored , with a firm tan head .  m : thinner side of medium in body , carbonation is medium as well but falls off fast . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 0 
beer2,0.6,"sure , it 's yellow and does n't smell like much , but this beer really hits the spot sometimes ... a good reminder that beer need not be dark , heavy , unbalanced or produced on a small scale to taste good .  bottle poured into a tulip . ( a ) - pours a hazy golden yellow color that produced a huge 3+ fluffy white head with superb retention .  slightly darker copper appreance . nice strong stench that fills your nostrils . it has a very unique strong taste at first but leaves a nice smooth after taste . i have never had it on tap but bottled is just as good i assume . highly suggested if you have not tried and are a big bock fan ... ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
beer2,0.6,"s - dry , sour cherries with a little bit of moldy sock funk . the distinctly earthy cherry character is specifically that of cherry pits and skins . the flavor is not as lively as the aroma , though it is still quite enjoyable , but the acidity does get in the way of drinkability a bit . like every cantillon beer i have had , i find myself inhaling deeply to experience the complex fruit aroma again and again .  pours a virtually opaque black with a great tan head that sticks around .  mouthfeel was kind of thin for the serving style . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 
