task,label,text,rationale,combine_flag
beer2,0.6,forms a nice pillowy 2 finger head . great lacing on the glass and a lovely burnt orange color .  very smooth and not overpowering though . i wish this beer was n't so thin . i would 've liked it to have some more body . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 ,0
beer2,0.6,"pours a deep oil-like black with a large foamy tan head on top . retention is perfect , leaving with it beautiful lacing rings . smells average for a stout .  if you 're looking to watch those love-handels , like amstel , this may be something to consider . it lacks flavour and proves to be very bland which is emphasised by it 's cardboard-like aftertaste . one positive , is that it 's very easy to drink if you can put the taste ( or lack there of ) aside . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"intense nose . vinegar notes , but not as overpowering as some others of the style . nice .  m - goes down as easy as any ipa would . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 ,1
beer2,0.6,very clean . wonderful .  mouthfeel is very light and highly carbonated . ,0 0 0 0 01 1 1 1 1 1 1 1 ,2
beer2,0.6,"s : lots and lots of hops ! wonderful smell as well . t : just as i thought , lots of hops and citrus . i loved almost everything about this beer except the tast .  mouthfeel seems little light for a big stout the carbonation level does n't help with lightness either . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,2
beer2,0.6,"the lacing was amazing , so amazing i had to give it a top score on appearance .  m : it was watery with some carbonation . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 ,0
beer2,0.6,bomber poured into a tulip . pours a semi-cloudy bright orange with an off-white head that slowly dies down to a chunky layer of foam . wonderful spiderweb lacing left behind on the sides of the glass .  mouthfeel was average but could have used more texture . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,"pours a black which light can shine through . beautiful creamy head that is n't going anywhere .  m : thinner side of medium in body , carbonation is medium as well but falls off fast . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 0 ,0
beer2,0.6,"locals love this beer but i cant handle it . talk about bitter beer face . it 's so bitter , you ca n't taste any of the underlying flavors or really enjoy it .  slightly darker copper appreance . nice strong stench that fills your nostrils . it has a very unique strong taste at first but leaves a nice smooth after taste . i have never had it on tap but bottled is just as good i assume . highly suggested if you have not tried and are a big bock fan ... ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,"i had this beer poured from a can into a pint glass ... a : the beer pours a light amber color , with some golden highlights and a small white head with minimal lacing ... s : the smell the best part , nice and hoppy ... t : after the hoppy aroma , i was very unhoppy ( pun intended ) to find a dearth of hoppiness . more sweet and malt than hoppy , and this is a fresh can ( from june 25th ) ... m : a little too chewy for an apa , at least , imo ... d : eh , its not bad , but i prefer snpa over this one .  mouthfeel was kind of thin for the serving style . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 ,2
